video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710363273.webp","Exeed Rx","Exeed Rx (2024)","","","","Timur Zhanpeissov","CAR | WINDOW | EXTERIOR","Product | Product: Car"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710612218.webp","adidas - Your Future Is Not Mine","adidas - Your Future Is Not Mine (2016)","The 2016 Adidas commercial ""Your Future is Not Mine,"" directed by Terence Neale, features influential creatives like Aleali May, Luka Sabbat, and Iman Shumpert, among others, who march confidently towards an optimistic future, challenging the preconceived notions of a dystopian tomorrow. This campaign, produced by the advertising agency Johannes Leonardo, emphasizes individual empowerment and the message that one's future is theirs to create, rallying viewers to defy negative expectations and shape their own destinies through creativity and personal initiative.","Exile Edit, Nate Gross, Shane Reid","Sebastian Wintero","Company 3, Tom Poole","WALKING | SHOES | ADIDAS | HUNTER HAMPTON | MATTHEW EDWARDS | JEPH BURTON | WES PHELAN | JOHANNES LEONARDO","Away from Camera | Ground Level | Product | Product: Shoes | Tracking"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710363450.webp","Exeed Rx","Exeed Rx (2024)","","","","Timur Zhanpeissov","CAR | STUDIO | EXTERIOR | VEHICLE | OVERHEAD LIGHT","Product | Product: Car"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710453842.webp","Air Jordan - Rookie Card (Short Film)","Air Jordan - Rookie Card (Short Film) (2024)","An homage to the greatest to ever play the game and the card that started it all.","Masood Ahmed","Geoffrey Taylor","Spyros Katsihtis","CLOSE UP | NIKE | SHOES","Close-Up | Object Portal | Product | Product: Shoes"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710363412.webp","Exeed Rx","Exeed Rx (2024)","","","","Timur Zhanpeissov","CAR | INTERIOR | VEHICLE | DASHBOARD | STEERING WHEEL","Product | Product: Car"
"https://asset.eyecannndy.com/media/clip/2024/03/19/261710829604.webp","Evan Williams - Bring the Flavor","Evan Williams - Bring the Flavor (2024)","","Al Benoit","","Ashley Ayarza Woods","FRUIT | ALCOHOL | LIQUOR | BOURBON","Frame Division | Product | Product: Alcohol"
"https://asset.eyecannndy.com/media/clip/2024/03/19/261710829722.webp","Evan Williams - Bring the Flavor","Evan Williams - Bring the Flavor (2024)","","Al Benoit","","Ashley Ayarza Woods","APPLE | FRUIT | ALCOHOL | LIQUOR | BOURBON | PEACH","Product | Product: Alcohol | Roll Transition"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710453936.webp","Air Jordan - Rookie Card (Short Film)","Air Jordan - Rookie Card (Short Film) (2024)","An homage to the greatest to ever play the game and the card that started it all.","Masood Ahmed","Geoffrey Taylor","Spyros Katsihtis","NIKE | EXTERIOR | SHOES | COURT | JUMP","Locked-On | Product | Product: Shoes | Speed Ramp"
"https://asset.eyecannndy.com/media/clip/2024/07/07/261720385255.webp","The Dare - Perfume","The Dare - Perfume (2024)","The ""The Dare - Perfume 2024"" commercial is an evocative and visually striking advertisement that captures the essence of boldness and sensuality. It features a series of elegantly choreographed scenes where the protagonist moves through various luxurious settings, exuding confidence and allure. The commercial employs a rich color palette and dramatic lighting to highlight the sophistication and intensity of the perfume. The narrative is punctuated by close-up shots of the perfume bottle, emphasizing its sleek design and the brand's logo, leaving a lasting impression of elegance and daring on the viewer.","Josh Wehle","Ben Carey","Myles Bevan","BLACK AND WHITE | BOTTLE | HAND | PERFUME | CAP","Close-Up | Product"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710453488.webp","Air Jordan - Rookie Card (Short Film)","Air Jordan - Rookie Card (Short Film) (2024)","An homage to the greatest to ever play the game and the card that started it all.","Masood Ahmed","Geoffrey Taylor","Spyros Katsihtis","MALE | INTERIOR | MAGNIFYING GLASS | OLD | MICROSCOPE","Close-Up | Product | Product: Shoes | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710363371.webp","Exeed Rx","Exeed Rx (2024)","","","","Timur Zhanpeissov","CAR | EXTERIOR | TRUNK | VEHICLE","Product | Product: Car"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710453654.webp","Air Jordan - Rookie Card (Short Film)","Air Jordan - Rookie Card (Short Film) (2024)","An homage to the greatest to ever play the game and the card that started it all.","Masood Ahmed","Geoffrey Taylor","Spyros Katsihtis","MALE | NIKE | INTERIOR | SHOES","Over the Shoulder | Product | Product: Shoes"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710363612.webp","Exeed Rx","Exeed Rx (2024)","","","","Timur Zhanpeissov","CAR | STUDIO | EXTERIOR | VEHICLE","Product | Product: Car"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710363305.webp","Exeed Rx","Exeed Rx (2024)","","","","Timur Zhanpeissov","CAR | EXTERIOR | VEHICLE | DOOR HANDLE","Product | Product: Car"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710363558.webp","Exeed Rx","Exeed Rx (2024)","","","","Timur Zhanpeissov","CAR | STUDIO | EXTERIOR | VEHICLE","Product | Product: Car"
"https://asset.eyecannndy.com/media/clip/2024/03/19/261710829832.webp","Evan Williams - Bring the Flavor","Evan Williams - Bring the Flavor (2024)","","Al Benoit","","Ashley Ayarza Woods","APPLE | FRUIT | ALCOHOL | TREE | LIQUOR | BOURBON","Magical realism | Product | Product: Alcohol"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710401071.webp","Kirby Gladstein Photography","Kirby Gladstein Photography","","","","","OVERHEAD | BASKETBALL | NET | HENNESY","Product | Product: Alcohol | Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710363519.webp","Exeed Rx","Exeed Rx (2024)","","","","Timur Zhanpeissov","CAR | STUDIO | EXTERIOR | VEHICLE | GRILL","Product | Product: Car"
"https://asset.eyecannndy.com/media/clip/2024/03/19/261710829782.webp","Evan Williams - Bring the Flavor","Evan Williams - Bring the Flavor (2024)","","Al Benoit","","Ashley Ayarza Woods","APPLE | FRUIT | ALCOHOL | HONEY | LIQUOR | BOURBON","Product | Product: Alcohol | Roll Transition"
"https://asset.eyecannndy.com/media/clip/2024/03/18/261710751786.webp","Solomon shoes animation","Solomon shoes animation (2024)","","","","","SHOES","Kinetic | Product | Product: Shoes | Typography"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710611098.webp","adidas - Your Future Is Not Mine","adidas - Your Future Is Not Mine (2016)","The 2016 Adidas commercial ""Your Future is Not Mine,"" directed by Terence Neale, features influential creatives like Aleali May, Luka Sabbat, and Iman Shumpert, among others, who march confidently towards an optimistic future, challenging the preconceived notions of a dystopian tomorrow. This campaign, produced by the advertising agency Johannes Leonardo, emphasizes individual empowerment and the message that one's future is theirs to create, rallying viewers to defy negative expectations and shape their own destinies through creativity and personal initiative.","Exile Edit, Nate Gross, Shane Reid","Sebastian Wintero","Company 3, Tom Poole","SHOES | ADIDAS | HUNTER HAMPTON | MATTHEW EDWARDS | JEPH BURTON | WES PHELAN | JOHANNES LEONARDO | DYSTOPIAN","Dystopian | Ground Level | Product | Product: Shoes"
