video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/16/261705433011.webp","Pa Salieu - My Family feat BackRoad Gee","Pa Salieu - My Family feat BackRoad Gee (2020)","Pa Salieu - My Family feat BackRoad Gee (2020)","Femi Ladi","Stefan Yap","","BLACK AND WHITE","Whip Pan"
"https://asset.eyecannndy.com/media/clip/2023/12/19/261702947024.webp","The Grand Budapest Hotel","The Grand Budapest Hotel (2014)","A visually stunning and comedic masterpiece set in an eccentric Eastern European hotel.","Barney Pilling","Robert Yeoman","Jill Bogdanowicz","RED | WES ANDERSON | GRAND BUDAPEST | RALPH FIENNES | SUIT | FILM | 2010S | TONY REVOLORI | 35MM | JILL BOGDANOWICZ | BARNEY PILLING | COOKE S4/ I | ARRICAM ST | COOKE VAROTAL LENSES | ROBERT YOEMAN | COOKE VAROTEL ZOOM LENSES | ANGENIEUX OPTIMO ZOOMS | THE GRAND BUDAPEST HOTEL","Whip Pan"
"https://asset.eyecannndy.com/media/clip/2023/12/19/261702949462.webp","Whiplash","Whiplash (2014)","""Whiplash"" is a 2014 film directed by Damien Chazelle, known for its intense portrayal of the relationship between a young jazz drummer and his demanding music instructor. Chazelle's dynamic direction in ""Whiplash"" earned him widespread acclaim, showcasing his ability to create tension and deliver a gripping narrative within the context of a music-driven story.","Tom Cross","Sharone Meir","Natasha Leonnet","WARM | INTERIOR | CONDUCTOR | J. K. SIMMONS | JAZZ | DRUMS","Whip Pan"
"https://asset.eyecannndy.com/media/clip/2024/01/25/261706153110.webp","2001: A Space Odyssey","2001: A Space Odyssey (1968)","After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.","Ray Lovejoy","Geoffrey Unsworth, John Alcott","","PROFILE","Profile | Vignette | Whip Pan"
"https://asset.eyecannndy.com/media/clip/2024/05/15/261715812930.webp","Sabrina Carpenter - Espresso","Sabrina Carpenter - Espresso (2024)","The music video for Sabrina Carpenter's song ""Espresso,"" released in 2024, was directed by Dave Meyers. The video features vibrant and sun-soaked visuals, showcasing Carpenter in various stylish outfits as she navigates a dreamy, retro-inspired setting. With a playful and energetic vibe, the video highlights Carpenter's charisma and the song's catchy, upbeat nature. The creative direction was managed by Jacobi Mehringer and Anna Arnell, adding to the video's polished and dynamic aesthetic.","Jai Shukla","Scott Cunningham","Dante Pasquinelli","BEACH | SAND | WALKING | SHOPPING | UMBRELLA | POSE | SABRINA CARPENTER | MARILYN MONROE","1960s | Whip Pan | Yo-yo Whip"
"https://asset.eyecannndy.com/media/clip/2023/12/19/261702946939.webp","The Grand Budapest Hotel","The Grand Budapest Hotel (2014)","A visually stunning and comedic masterpiece set in an eccentric Eastern European hotel.","Barney Pilling","Robert Yeoman","Jill Bogdanowicz","WARM | WES ANDERSON | GRAND BUDAPEST | INTERIOR | FILM | 2010S | LOBBY | 35MM | JILL BOGDANOWICZ | BARNEY PILLING | COOKE S4/ I | ARRICAM ST | COOKE VAROTAL LENSES | ROBERT YOEMAN | COOKE VAROTEL ZOOM LENSES | ANGENIEUX OPTIMO ZOOMS | THE GRAND BUDAPEST HOTEL","Whip Pan"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704385841.webp","Asteroid City","Asteroid City (2023)","Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever. Shot: High angle fixed camera","Barney Pilling","Robert Yeoman","Gareth Spensley","WES ANDERSON | INTERIOR | BLACK AND WHITE | 2.39 ANAMORPHIC | FILM 35MM | ZEISS MASTER ANAMORPHICS | COOKE S4/ I | ARRICAM LT | ARRICAM ST","1950s | Whip Pan"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707633547.webp","IKEA – Show Off Your Savvy","IKEA – Show Off Your Savvy (2023)","2023 advert for IKEA, directed by Sanjay De Silva.","Hasani Franke-Harris","Benjamin Todd","Matt Turner","MALE | HOUSE | INTERIOR | GIRL | BEDROOM","Whip Pan"
"https://asset.eyecannndy.com/media/clip/2024/06/07/261717741879.webp","ONHA - KODAK","ONHA - KODAK (2024)","The music video for ""Kodak"" by ONHA, directed by Nitram, showcases the artist moving through different lively and surreal environments that correspond to playlists on a girl's phone. In one standout scene, ONHA is turned into a basketball, remaining the focal point during a game. The video is praised for its ambitious concept and impressive visual effects, making it a visually captivating experience.","M. Tikal","Virgil Leclercq","Francois Dubois","ONHA - KODAK (2024) | MALE | INTERIOR | HANDS | FLOOR | CHECKERED","High Angle | Ultra Wide | Whip Pan | Yo-yo Whip"
"https://asset.eyecannndy.com/media/clip/2023/12/19/261702945355.webp","Moonrise Kingdom","Moonrise Kingdom (2012)","A whimsical film set in 1965 New England, portraying the adventures of two young runaways exploring love and adolescence.","Andrew Weisblum","Robert Yeoman","Tim Stipan","DAY | WARM | EXTERIOR | FILM | RIVER | SCOUT | 16MM | ZEISS SUPER SPEED | AATON AMINIMA","1960s | Adventure | Whip Pan"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702886262.webp","Nike - Sport Changes Everything, Chicago-Style","Nike - Sport Changes Everything, Chicago-Style (2019)","This spot dishes out Windy City metaphors faster than a hot dog order, glorifying Chicagoans and their sports passion with a side of campaign slogan irony: ""Sport Changes Everything.""","Jack Kanner, Jamie Foord, Rock Paper Scissors","Mihai Malaimare","A52","RESTAURANT | NIKE | INTERIOR | CHICAGO","Whip Pan"
