video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706250488.webp","YOLOv3 Object Detection Project","YOLOv3 Object Detection Project (2018)","Video clips from the YOLOv3 Object Detection project which uses artificial intelligence to identify objects captured on camera in real time.","","","","DAY | GREEN | EXTERIOR | DESERT | MAGENTA | CAMEL","Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/05/14/261715655189.webp","Vans Australia BTS","Vans Australia BTS","","Ian Ferguson","","","RED | PAPER | TEXTURE","Collage | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703451821.webp","John Grant Animation GIF By Ewan Jones Morris","John Grant Animation GIF By Ewan Jones Morris (2018)","Close up mask replacement of face with quick cut collage, on black shadow box.","Ewan Jones Morris","","","DARK | COLORFUL | SATURATED | BLACK","Collage | Cutout | Masking | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710400316.webp","Twitter new brand identity","Twitter new brand identity (2021)","Created by Twitter’s in-house team and French studio Irradié, the social media platform’s refreshed branding features an “intentionally imperfect” aesthetic and new brand font, Chirp.","","","","NEWSPAPER | CUTOUT | TORN PAPER","Collage | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706691774.webp","Kid Culture - KEEP IT","Kid Culture - KEEP IT (2023)","2023 music video for artist Kid Culture. Produced by Stray Dogs","Daniel Iglesias Jr.","Scott Siracusano","Dante Pasquinelli","WOMAN | HULA HOOP","Collage | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706251155.webp","adidas Originals - Powered by the Past","adidas Originals - Powered by the Past (2020)","2020 commercial for adidas Originals featuring a mixed media collage approach throughout. Concepted by Johannes Leonardo. Produced by 'Not to Scale'.","Britt Bellamy, Danny Weeks","","Phil Choe","SHOES | ADIDAS","Collage | Mixed Media | Vintage"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711248796.webp","Danny Brown - Y.B.P.","Danny Brown - Y.B.P. (2024)","The music video for ""Danny Brown - Y.B.P. (feat. Bruiser Wolf)"" utilizes claymation-inspired visuals, beginning with Danny Brown performing in a living room among various characters. The plot thickens with a dramatic armed robbery at a fast-food restaurant led by Brown and Wolf, followed by a suspenseful police chase. These visuals serve to underline the song's narrative of overcoming past hardships.","Edem Wornoo, William Child","MOSHPXT","Electric Theatre Collective, Megan Lee","CAR | DRIVING","Claymation | Mixed Media | Stop Motion"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709535781.webp","Source unknown","Source unknown","","","","","BLACK AND WHITE | NEWSPAPER","Collage | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710578377.webp","Design by Landon Khiry","Design by Landon Khiry (2024)","","Landon Khiry","","","MAGAZINE | COVER","Collage | Mixed Media | Stylistic Suck"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709535578.webp","Shifts","Shifts (2021)","Elements of fragmented narrative, abstract visions and blurred memories collected and shuffled together in this small animation study for an abandoned short film. Score by MYNAH FM.","","","","","Masking | Mixed Media | Profile | Stop Motion"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706251181.webp","adidas Originals - Powered by the Past","adidas Originals - Powered by the Past (2020)","2020 commercial for adidas Originals featuring a mixed media collage approach throughout. Concepted by Johannes Leonardo. Produced by 'Not to Scale'.","Britt Bellamy, Danny Weeks","","Phil Choe","SHOES | ADIDAS | STOP MOTION | BOOK","Collage | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706251786.webp","Coca-Cola Energy - Show Up","Coca-Cola Energy - Show Up (2022)","","Damion Clayton, Rock Paper Scissors","Andrzej Sekula","Matt Osborne, The Mill","INTERIOR | PHONE | MARTIN SCORSESE | UI | TEXT BUBBLE","Annoyance | Live Action | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704862502.webp","A$AP Rocky - D.M.B.","A$AP Rocky - D.M.B. (2022)","","A$AP Rocky","","","CLOSE UP | TEETH | RIHANNA | A$AP ROCKY","Collage | Maximalism | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706250091.webp","Art by Andrew Benson","Art by Andrew Benson (2016)","","Andrew Benson","","","","Collage | Glitch | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707403017.webp","Tierra Whack - SHOWER SONG","Tierra Whack - SHOWER SONG (2024)","","Harvey Benschoter","Drew Saracco","Ryan Berger","","Collage | Mixed Media | Stop Motion"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707620612.webp","Carly Gibert - WILLOW","Carly Gibert - WILLOW (2024)","2024 music video performed and directed by artist Carly Gibert.","Carly Gibert","Enzo Iriarte","","COLORFUL | SATURATED","Collage | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706252338.webp","Source unknown","Source unknown","","","","","UNDERWATER | FISH","Mixed Media | Underwater"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706250694.webp","YOLOv3 Object Detection Project","YOLOv3 Object Detection Project (2018)","Video clips from the YOLOv3 Object Detection project which uses artificial intelligence to identify objects captured on camera in real time. This clip features a scene from The Wolf of Wall Street (2013).","","","","DAY | EXTERIOR | HAND | MAGENTA | HORSE | LIME GREEN","Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709535402.webp","Shifts","Shifts (2021)","Elements of fragmented narrative, abstract visions and blurred memories collected and shuffled together in this small animation study for an abandoned short film. Score by MYNAH FM.","","","","","Light Void | Mixed Media | Silhouette | Stop Motion"
"https://asset.eyecannndy.com/media/clip/2024/05/14/261715655084.webp","Subtype Selects x Lucky Punch","Subtype Selects x Lucky Punch","","Ian Ferguson","","","PAPER | TEXTURE","Collage | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707403057.webp","Tierra Whack - SHOWER SONG","Tierra Whack - SHOWER SONG (2024)","","Harvey Benschoter","Drew Saracco","Ryan Berger","","Collage | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709535611.webp","Shifts","Shifts (2021)","Elements of fragmented narrative, abstract visions and blurred memories collected and shuffled together in this small animation study for an abandoned short film. Score by MYNAH FM.","","","","","Mixed Media | Silhouette | Stop Motion | Vector"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707403127.webp","Tierra Whack - SHOWER SONG","Tierra Whack - SHOWER SONG (2024)","","Harvey Benschoter","Drew Saracco","Ryan Berger","","Mixed Media | Stop Motion | Subtitles | Typography"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707402014.webp","Tierra Whack - SHOWER SONG","Tierra Whack - SHOWER SONG (2024)","","Harvey Benschoter","Drew Saracco","Ryan Berger","RED | SURREALIST | COLORFUL | SATURATED | SATURATION | PLAYFUL","Collage | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706251541.webp","Art by Ryan Seslow","Art by Ryan Seslow (2013)","","Ryan Seslow","","","NEW YORK CITY | SUBWAY","Collage | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710578324.webp","Shai Gilgeous-Alexander","Shai Gilgeous-Alexander (2024)","","Landon Khiry","","","MALE | SPORTS","Collage | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706251570.webp","Art by Ryan Seslow","Art by Ryan Seslow (2013)","","Ryan Seslow","","","","Collage | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706252191.webp","Source unknown","Source unknown","","","","","CLOSE UP","Mixed Media | Stop Motion"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706252504.webp","Art by Ana Projects","Art by Ana Projects","","","","","","Collage | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706252210.webp","Source unknown","Source unknown","","","","","EYE","Collage | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/03/26/261711434813.webp","""The Fear Cycle"" Film - Unveiling Sleep Paralysis Through Art","""The Fear Cycle"" Film - Unveiling Sleep Paralysis Through Art (2024)","""The Fear Cycle"" film explores Nicolas Bruno’s experiences with Sleep Paralysis, a sleep disorder that causes vivid nightmares. Bruno transforms his fears into artwork, giving viewers a glimpse into each dream sequence. This film delves into Bruno's creative journey, showcasing his artistic process, dream journal entries, and theatrical renditions of his visions.","Armen Harootun","","Connor Bailey","BEACH | HORSE","Collage | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709539958.webp","Saint Levant - Nails","Saint Levant - Nails (2023)","2024 music video by Saint Levant performing Nails starring Mia Khalifa.","Mattias Russo-Larsson","Melisse Riahi","","","Collage | Mixed Media | Photography"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706250532.webp","YOLOv3 Object Detection Project","YOLOv3 Object Detection Project (2018)","Video clips from the YOLOv3 Object Detection project which uses artificial intelligence to identify objects captured on camera in real time.","","","","DAY | EXTERIOR | HAND | MAGENTA | HORSE | LIME GREEN","Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/05/14/261715656902.webp","Joost, Ski Aggu & Otto Waalkes - Friesenjung","Joost, Ski Aggu & Otto Waalkes - Friesenjung (2023)","The music video for ""Friesenjung"" by Joost, Ski Aggu, and Otto Waalkes presents a playful and humorous visual narrative that complements the lighthearted and catchy tune of the song. It features a variety of quirky scenes that highlight the cultural and comedic elements typical of Otto Waalkes' performances, blended with the musical styles of Joost and Ski Aggu, creating a unique and entertaining fusion.","Fons de Haan","","Bloempot Media","DAY | MALE | EXTERIOR | HANDSHAKE","Collage | Freeze Frame | Mixed Media | Title Card"
