video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2023/12/23/261703306716.webp","Laowa 24mm f/14 2x Macro","Laowa 24mm f/14 2x Macro (2018)","","","","","MACRO | INTERIOR | SLOW MOTION | VOID | LAOWA | PROBE | 24MM F/14 2X | BOOK","Probe | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2023/12/23/261703306920.webp","Laowa 24mm f/14 2x Macro","Laowa 24mm f/14 2x Macro","","","","","MACRO | INTERIOR | PANTS | LAOWA | PROBE | 24MM F/14 2X | BOOK","Probe"
"https://asset.eyecannndy.com/media/clip/2023/12/15/261702684359.webp","Valaire - (She's A) Winner (Ft. Alan Prater)","Valaire - (She's A) Winner (Ft. Alan Prater) (2023)","Fixed camera extreme close-up ""on object"" object POV shot. This is a great example of when ""on object"" object POV shots and Fixed Camera shots work together. We're seeing the world from the hot dogs perspective, but doing so in third-person, with the help of a camera attached to the dog. Yummy!","Julien Vallée","Harley Francis","Charles-Étienne Pascal","YELLOW | WARM | CHECKER | FAST FOOD | FEET | HOT DOG | WALKING | MUSTARD | RESTAURANT","Fixed Cam | Probe"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704119828.webp","First Hawaiian Bank - Dance Party","First Hawaiian Bank - Dance Party (2022)","","Ariel Danziger","Jeremy Snell","","QUICK CUTS | CONVEYOR | FOOD | PROBE LENS | GROCERY STORE","Jump cut | Probe | Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704116263.webp","Delta - Runways","Delta - Runways (2018)","Viola Davis, in a 60-second spot, encourages viewers to embrace life's diverse experiences, symbolized by various scenes transitioning like runways, culminating in a Delta jet taking off into the clouds.","Mikkel Nielsen","Arnaud Pottier","Sofie Borup","DAY | DOLLY SHOT","Dolly | Match Cut | Probe"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704116548.webp","Delta - Runways","Delta - Runways (2018)","Viola Davis, in a 60-second spot, encourages viewers to embrace life's diverse experiences, symbolized by various scenes transitioning like runways, culminating in a Delta jet taking off into the clouds. Shot breakdown: Probe lens dolly shot to a tilt upwards.","Mikkel Nielsen","Arnaud Pottier","Sofie Borup","WATER | POOL | SKY | PROBE | DOLLY SHOT | PLANE | FLOATIE","Dolly | Probe"
"https://asset.eyecannndy.com/media/clip/2024/03/22/261711140187.webp","Aminé - Charmander","Aminé - Charmander (2021)","In the 2021 music video ""Charmander"" by Aminé, the artist retreats to a secluded cabin in the woods, symbolizing a quest for peace and introspection away from the pressures of fame. The video is characterized by a warm, earthy color palette and natural light, capturing the tranquil beauty of the forest setting. The nostalgic reference to Pokémon through the title ""Charmander"" adds a whimsical contrast to the mature themes of self-discovery and isolation.","Will Tooke","Ben Mullen","Andrew Francis","MALE | EXTERIOR | FLOWERS | GARDEN","Probe"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704863987.webp","Chime - Woah","Chime - Woah (2021)","","Jojo King","Starr Whitesides","Kris Smale","DAY | GREEN | INTERIOR | CLOTHING | PROBE | CREDIT CARD | APPAREL | CHIME | DEBIT CARD | SLEEVE","Probe"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703285263.webp","Source Unknown","Source Unknown","","","","","","Probe"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702688753.webp","Rosalia - Saoko","Rosalia - Saoko (2022)","Probe lens from inside a vehicles gas tank. We don't consider this an OBJECT POV because we exit the gas tank, as well as Rosalia's agknowledgement of the camera with her smile. We'd consider this a fourth wall-breaking shot from a unique perspective.","Jon Echeveste","Paul Guilhaume","Arthur Paux","POV | DRIVING | GAS","Aside | Fourth Wall | Pass Through | Probe"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704116433.webp","Delta - Runways","Delta - Runways (2018)","Viola Davis, in a 60-second spot, encourages viewers to embrace life's diverse experiences, symbolized by various scenes transitioning like runways, culminating in a Delta jet taking off into the clouds. Shot breakdown - Yo-yo pan","Mikkel Nielsen","Arnaud Pottier","Sofie Borup","DAY | DOLLY SHOT","Dolly | Match Cut | Probe"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704120426.webp","Ikea - Infinite Play","Ikea - Infinite Play (2022)","","Paul Hardcastle","Pierre De Kerchove","Fernando Lui","WOMAN | HOUSE | INTERIOR | RAIN | KITCHEN | WARM WHITE | LIVING ROOM | KID","Probe | Technocrane"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710399280.webp","Halo 3 - Diorama","Halo 3 - Diorama (2007)","A visually stunning and intricately designed model battlefield, showcasing a battle scene between human UNSC forces, including the series' protagonist Master Chief, and the alien Covenant forces. The diorama was filled with painstaking detail, including miniature soldiers, vehicles like Warthogs and Scorpions, and alien landscapes.","Andrea MacArthur, Rock Paper Scissors","Chris Soos","","EXTERIOR | BATTLE | SOLDIER | BATTLEFIELD | DIORAMA | HALO","Diorama | Probe"
"https://asset.eyecannndy.com/media/clip/2024/05/15/261715809868.webp","Majimbo - Aiza","Majimbo - Aiza (2023)","The music video for Aiza’s ""Majimbo"" showcases vibrant, energetic scenes that match the feel-good thumpy pop bassline and braggadocious flow of the song. Aiza, full of confidence, is seen walking down colorful city streets that transform into impromptu fashion runways, exuding an infectious joy and inner strength. K.O.G’s electric vocals elevate the video’s energy, capturing the pride and inspiration drawn from Elsa Majimbo’s rise to fame. The video blends Afropop, Afrobeat, and soulful R&B elements, celebrating Aiza’s journey and the empowerment of loving boldly.","Daniyal Shah","Daniel Attoh","Tricia Hagoriles","WOMAN | CHESS | RAPPING","Ground Level | Probe"
