video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/03/22/261711141912.webp","Downtown Kayoto - Came Thru","Downtown Kayoto - Came Thru (2024)","","Joe Howat","Harry Basey","Anna Barsukova","VOID | DANCE","Choreo | Crash Zoom | Handheld"
"https://asset.eyecannndy.com/media/clip/2024/07/05/261720165486.webp","Victoria Monet - Alright","Victoria Monet - Alright (2024)","The music video for ""Alright"" by Victoria Monét, directed by Dave Meyers, is a vibrant homage to Janet Jackson, featuring high-energy choreography and striking visuals. In the video, Monét channels Jackson's iconic style, wearing a black-and-white fedora and suit, and performing dynamic dance routines reminiscent of Jackson's 1990s and 2000s era. The video, choreographed by Sean Bankhead, showcases Monét's impressive dance skills and captures the essence of liberation and celebration. Made in collaboration with Jacobi Mehringer, Anna Arnell, and Mia Barnes.","Vinnie Hobbs","Scott Cunningham","Dante Pasquinelli","BLUE | EYE | PUPIL | VICTORIA MONET","Choreo | Projections"
"https://asset.eyecannndy.com/media/clip/2024/03/31/261711860709.webp","Nike - A Feel For Every You","Nike - A Feel For Every You (2023)","The 2023 Nike commercial, ""A Feel For Every You,"" presents fitness as a diverse and personalized experience, likened to a ""mega-mix symphony of sensations"" that ranges from high-energy activities to more relaxed, chill moments. It emphasizes that fitness is a personal choice, unique to each individual.","Ben Cowan, Paul Watts","Oliver Millar","Mikey Rossiter","WOMAN | GROUP | EXTERIOR | CITY | ATHLETE | STREETS","Choreo"
"https://asset.eyecannndy.com/media/clip/2024/07/05/261720165232.webp","Victoria Monet - Alright","Victoria Monet - Alright (2024)","The music video for ""Alright"" by Victoria Monét, directed by Dave Meyers, is a vibrant homage to Janet Jackson, featuring high-energy choreography and striking visuals. In the video, Monét channels Jackson's iconic style, wearing a black-and-white fedora and suit, and performing dynamic dance routines reminiscent of Jackson's 1990s and 2000s era. The video, choreographed by Sean Bankhead, showcases Monét's impressive dance skills and captures the essence of liberation and celebration. Made in collaboration with Jacobi Mehringer, Anna Arnell, and Mia Barnes.","Vinnie Hobbs","Scott Cunningham","Dante Pasquinelli","BLUE | VICTORIA MONET | GLITTER","Choreo | Seamless Transition | Transitions"
"https://asset.eyecannndy.com/media/clip/2024/05/15/261715813424.webp","Sabrina Carpenter - Espresso","Sabrina Carpenter - Espresso (2024)","The music video for Sabrina Carpenter's song ""Espresso,"" released in 2024, was directed by Dave Meyers. The video features vibrant and sun-soaked visuals, showcasing Carpenter in various stylish outfits as she navigates a dreamy, retro-inspired setting. With a playful and energetic vibe, the video highlights Carpenter's charisma and the song's catchy, upbeat nature. The creative direction was managed by Jacobi Mehringer and Anna Arnell, adding to the video's polished and dynamic aesthetic.","Jai Shukla","Scott Cunningham","Dante Pasquinelli","BEACH | SAND | FRIENDS | GROUP | VACATION | RELAXING | LEGS | SENSUAL | SABRINA CARPENTER | SULTRY","1960s | Choreo"
"https://asset.eyecannndy.com/media/clip/2024/03/22/261711141165.webp","Downtown Kayoto - Came Thru","Downtown Kayoto - Came Thru (2024)","","Joe Howat","Harry Basey","Anna Barsukova","GROUP | DANCERS","Choreo | Locked-On | Spotlight | Void"
"https://asset.eyecannndy.com/media/clip/2024/09/12/261726174458.webp","M.I.A. 'Bad Girls'","M.I.A. 'Bad Girls' (2012)","M.I.A.'s ""Bad Girls"" music video is a visually stunning showcase of Saudi-inspired car stunts, with drifting vehicles on two wheels and empowered women in a desert setting, blending Middle Eastern cultural elements with modern rebellion. Directed by Romain Gavras, the video highlights themes of female empowerment and defiance, all set against a backdrop of high-octane action and surreal imagery.","Walter Mauriot","André Chemetoff","","DAY | CAR | EXTERIOR | DESERT | MOROCCO","Choreo | Direct"
"https://asset.eyecannndy.com/media/clip/2024/05/15/261715813878.webp","Sabrina Carpenter - Espresso","Sabrina Carpenter - Espresso (2024)","The music video for Sabrina Carpenter's song ""Espresso,"" released in 2024, was directed by Dave Meyers. The video features vibrant and sun-soaked visuals, showcasing Carpenter in various stylish outfits as she navigates a dreamy, retro-inspired setting. With a playful and energetic vibe, the video highlights Carpenter's charisma and the song's catchy, upbeat nature. The creative direction was managed by Jacobi Mehringer and Anna Arnell, adding to the video's polished and dynamic aesthetic.","Jai Shukla","Scott Cunningham","Dante Pasquinelli","BEACH | GROUP | MEN | SURFING | SUNGLASSES | SUMMER | SURFBOARD | SURFERS","1960s | Choreo"
"https://asset.eyecannndy.com/media/clip/2024/03/31/261711860788.webp","Nike - A Feel For Every You","Nike - A Feel For Every You (2023)","The 2023 Nike commercial, ""A Feel For Every You,"" presents fitness as a diverse and personalized experience, likened to a ""mega-mix symphony of sensations"" that ranges from high-energy activities to more relaxed, chill moments. It emphasizes that fitness is a personal choice, unique to each individual.","Ben Cowan, Paul Watts","Oliver Millar","Mikey Rossiter","WOMAN | GROUP | EXTERIOR | CITY | ATHLETE | STREETS","Choreo"
"https://asset.eyecannndy.com/media/clip/2024/07/13/261720851055.webp","Jhula - Manish Khushalani","Jhula - Manish Khushalani (2024)","The music video for ""Jhula"" by Manish Khushalani, released in 2024, explores themes of vulnerability, trust, and the delicate nature of relationships. The video combines Indian classical elements with contemporary electronic music, creating a unique visual and auditory experience. The narrative is driven by a series of intimate and evocative scenes that reflect the song's emotional depth, showcasing a blend of traditional and modern aesthetics that highlight the fusion of cultural influences. The visuals are crafted to complement the haunting melody and poignant lyrics, making for a captivating and immersive experience.","Manish Khushalani","","Vineesh Vijayan","DAY | PINK | TWO SHOT | EXTERIOR | FLOATING | RAINBOW","Choreo | Halation | Levitation"
