video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/15/261705286004.webp","The Matrix","The Matrix (1999)","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Zach Staenberg","Bill Pope","David Orr","INTERIOR | KEANU REEVES | FIGHT | GUN | BULLETS","1990s | Action | Arc | Bullet Time | X-Axis Arc"
"https://asset.eyecannndy.com/media/clip/2024/01/30/261706572851.webp","Westworld (TV Series) S4E4","Westworld (TV Series) S4E4 (2022)","Maeve and Caleb attempt to escape Temperance with their lives. Bernard and the resistance search for a weapon in the desert.","Paul Cameron","","","DAY | GROUP | EXTERIOR | FROZEN | GOLDEN HOUR","Bullet Time | Wide shot"
"https://asset.eyecannndy.com/media/clip/2023/12/23/261703313911.webp","Phillips - Carousel","Phillips - Carousel (2009)","A chaotic sequence unfolds starting with a police officer on a parked car amidst explosions and a hospital firefight involving clowns. The suspense builds as the camera navigates through the chaos, eventually exposing a deceptive officer who is part of the criminal activity, bringing the narrative full circle in a perpetual loop.","Paul Hardcastle, Trim Editing","Fredrik Bäckar","Company 3, Jean-Clement Soret","EXPLOSION | INTERIOR | HALLWAY | DOLLY","Bullet Time"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703233225.webp","A$AP Rocky - Kids Turned Out Fine","A$AP Rocky - Kids Turned Out Fine (2019)","Directed by Dexter Navy, A$AP Rocky's ""Kids Turned Out Fine"" music video explores the transition from childhood to parenthood through surreal and dreamlike scenes, accompanied by a blissed-out vibe. Despite a dark twist related to the album title ""TESTING,"" the video maintains a whimsical feel and highlights Rocky's psychedelic wardrobe.","Will Town","Chris Ripley","","DAY | EXTERIOR | ASAP ROCKY | A$AP","Bullet Time | X-Axis Arc"
"https://asset.eyecannndy.com/media/clip/2023/12/23/261703313952.webp","Phillips - Carousel","Phillips - Carousel (2009)","A chaotic sequence unfolds starting with a police officer on a parked car amidst explosions and a hospital firefight involving clowns. The suspense builds as the camera navigates through the chaos, eventually exposing a deceptive officer who is part of the criminal activity, bringing the narrative full circle in a perpetual loop.","Paul Hardcastle, Trim Editing","Fredrik Bäckar","Company 3, Jean-Clement Soret","EXPLOSION | INTERIOR | HALLWAY","Arc | Bullet Time | X-Axis Arc"
"https://asset.eyecannndy.com/media/clip/2023/12/23/261703313366.webp","Botis Seva - Santo","Botis Seva - Santo (2022)","","Freddie Leyden","David Bird","Alex Gregory","BLACK AND WHITE","Bullet Time | Duplication | Magical realism"
"https://asset.eyecannndy.com/media/clip/2023/12/23/261703314859.webp","Nomis Football - Boots Damn Boots","Nomis Football - Boots Damn Boots (2009)","","Woof Wan-Bau","Philipp Blaubach","","SURREALIST | SURREALISM | VOID","2000s | Arc | Bullet Time | Tilt | Void | X-Axis Arc"
"https://asset.eyecannndy.com/media/clip/2024/01/23/261706041750.webp","Sokół – Miłość zawsze jest","Sokół – Miłość zawsze jest (2023)","","","","","DAY | EXTERIOR | FLOWERS | 1940S","1940s | Arc | Bullet Time | X-Axis Arc"
"https://asset.eyecannndy.com/media/clip/2023/12/23/261703314101.webp","A$AP Ferg - Floor Seats","A$AP Ferg - Floor Seats (2019)","In the music video for ""Floor Seats,"" A$AP Ferg gives a supposedly VIP tour of New York City on his Redline BMX, showcasing the rare and unique experience of his life—complete with gravity-defying bike tricks and a closing act of a house party that makes Harlem look like the ultimate VIP lounge. Because nothing says VIP like riding a BMX through the streets and ending the night with a raucous house bash, right?","Maxime Caro","Hunter Daly","Arthur Paux","DAY | BIKE | EXTERIOR","Bullet Time | Camera Roll"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711256689.webp","Rema - Trouble Maker","Rema - Trouble Maker (2023)","The ""Trouble Maker"" music video by Rema, directed by Meji Alabi, features vibrant visuals and dynamic choreography that emphasize themes of triumph and resilience. Enhanced by Blaisebeatz's production, it provides a cinematic experience that complements the track's infectious beats. The video showcases Rema's unique style and artistic versatility.","Matt Newmann, Trim Editing","Stefan Yap","Ana Escorse","RED | MALE","Bullet Time | High Angle"
