video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/18/Apr-21-202319-13-02/f44c74a19ec75eaa1ef1e83eeaf76873.gif","Long Live Liborius","Long Live Liborius (2021)","Long Live Liborius (2021) Technique - Extreme Wide , Slow Zoom , Zoom Director - Bruton Stroube Original Source - Link DAY EXTERIOR BUILDING CITY SKATING STREET EXTREME WIDE SKATE","Bruton Stroube","","","DAY | EXTERIOR | BUILDING | CITY | SKATING | STREET | EXTREME WIDE | SKATE","Extreme Wide | Slow Zoom | Zoom"
"https://asset.eyecannndy.com/media/clip/2023/12/17/261702786010.webp","H&M - Hotel Hennes","H&M - Hotel Hennes (2022)","Hôtel Hennes: Imaginary fashion haven, blending iconic art hotel vibes. A realm of exaggerated aesthetics, experimental tales, and rule-free fashion dreams.","William Town","","","HOTEL | INTERIOR | INSIDE | PEEPHOLE","Zoom"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708334180.webp","Dua Lipa - Training Season","Dua Lipa - Training Season (2024)","In the ""Training Season"" video, Dua Lipa remains composed at a cafe, surrounded by gawking men taking photos of her. The song's inspiration, as shared by Lipa, stemmed from a series of bad dates, leading her to declare the end of her ""training season"" and shaping the song with songwriters Caroline Ailin and Tobias Jesso Jr.","Julie Levy","Rina Yang","Dante Pasquinelli","RESTAURANT | INTERIOR | DUA LIPA","Locked-on Lazy Susan | Set Transition | Suggestive | Zoom"
"https://asset.eyecannndy.com/media/clip/2023/12/19/261702944549.webp","Sports Direct - Women's Euro","Sports Direct - Women's Euro (2022)","Championing equality and showcasing women's passion for the sport. Recognizable faces and in-depth interviews fuel the celebration, countering the misconception and inviting the next generation to embrace football as a viable option.","Fouad Gaber","Olan Collardy","Jason Wallis","SPORTS | INTERIOR | SOCCER","Match Cut | Whip Pan | Yo-Yo Zoom | Zoom"
"https://asset.eyecannndy.com/media/clip/2024/01/27/261706398683.webp","Hunt for the Wilderpeople","Hunt for the Wilderpeople (2016)","A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.","Luke Haigh, Tom Eagles, Yana Gorskaya","Lachlan Milne","David McLaren","DAY | FOREST | EXTERIOR | TREES | WOODS | KID | SOLDIER","Crash Zoom | Zoom"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704110792.webp","Fear and Loathing in Las Vegas","Fear and Loathing in Las Vegas (1999)","An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.","Lesley Walker","Nicola Pecorini","","DAY | EXTERIOR | 1990S | 35MM | SUPER 35 | SPHERICAL | ARRIFLEX 35 IIA | ARRIFLEX BL4 | ZEISS STANDARD PRIMES","1990s | Extreme Close-Up | Zoom"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703047657.webp","Full Metal Jacket","Full Metal Jacket (1987)","A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.","Martin Hunter","Douglas Milsome","","CLOSE UP | EXTERIOR | 1980S | STANLEY KUBRICK | ZOOM | 35MM | MARTIN HUNTER | NIKON LENSES | KODAK 5294 | FULL METAL JACKET | ZEISS SUPER SPEED LENSES | ARRIFLEX 35 BL | DOUGLAS MILSOME | ARRIFLEX 35 IIC | GREEN DAY | PUSH IN | SUBTLE ZOOM","1980s | Close-Up | Intensity | Slow Zoom | Zoom"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704860956.webp","A$AP Rocky - D.M.B.","A$AP Rocky - D.M.B. (2022)","Directed and produced by him for AWGE, this music video depicts a devoted relationship in challenging circumstances, filmed in New York. This specific clip features a flash cut photography technique inside a vintage film border that duplicates.","A$AP Rocky","","","EXTERIOR | STAIRS | FIRE ESCAPE | BUILDING DAY","Zoom"
"https://asset.eyecannndy.com/media/clip/2023/12/17/261702785295.webp","Moonrise Kingdom","Moonrise Kingdom (2012)","A whimsical film set in 1965 New England, portraying the adventures of two young runaways exploring love and adolescence.","Andrew Weisblum","Robert Yeoman","Tim Stipan","INTERIOR | FILM | TRUMPET | BUGLE | FOX | CHILDREN | KIDS | 16MM | ZEISS SUPER SPEED | AATON AMINIMA","1960s | Zoom"
"https://asset.eyecannndy.com/media/clip/2024/01/11/261704943471.webp","Flybuys - Give a Flybuys","Flybuys - Give a Flybuys (2021)","Flybuys - Give a Flybuys (2021)","Leila Gaabi","","Fergus Rotherham","DAY | WOMAN | DRESS | EXTERIOR | LAWN","Zoom"
