video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/03/25/261711344751.webp","Fantastic Mr. Fox","Fantastic Mr. Fox (2009)","An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.","Ralph Foster, Stephen Perkins","Tristan Oliver","Max Horton","ANIMALS","Light Flash | Stop Motion"
"https://asset.eyecannndy.com/media/clip/2024/07/05/261720165420.webp","Victoria Monet - Alright","Victoria Monet - Alright (2024)","The music video for ""Alright"" by Victoria Monét, directed by Dave Meyers, is a vibrant homage to Janet Jackson, featuring high-energy choreography and striking visuals. In the video, Monét channels Jackson's iconic style, wearing a black-and-white fedora and suit, and performing dynamic dance routines reminiscent of Jackson's 1990s and 2000s era. The video, choreographed by Sean Bankhead, showcases Monét's impressive dance skills and captures the essence of liberation and celebration. Made in collaboration with Jacobi Mehringer, Anna Arnell, and Mia Barnes.","Vinnie Hobbs","Scott Cunningham","Dante Pasquinelli","BLUE | VICTORIA MONET","Choreo | Light Flash"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707623655.webp","A$AP Rocky - L$D","A$AP Rocky - L$D (2015)","Shot entirely in Tokyo, L$D borrows heavily from Gaspar Noé’s 2009 psychedelic fantasy film Enter the Void (which, if you ask Noé, also inspired Kanye West’s 2010 music video “All of the Lights”).","Dexter Navy","Oliver Millar","Matt Turner","","Altered state | Drug trip | Light Flash"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261710024491.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","James Herbert","Ed Wild","","INTERIOR | THEO JAMES","Anger | Epiphany | Light Flash"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709544718.webp","Riot & Set it off","Riot & Set it off (2024)","2024 music video directed by Trey Lyons. Features beautiful slow motion sequences and frenetic sequences.","Alex Morrison","Franklin Ricart","Company 3, Joseph Bicknell","BLUE","Light Flash | Silhouette | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707622063.webp","A$AP Rocky - L$D","A$AP Rocky - L$D (2015)","Shot entirely in Tokyo, L$D borrows heavily from Gaspar Noé’s 2009 psychedelic fantasy film Enter the Void (which, if you ask Noé, also inspired Kanye West’s 2010 music video “All of the Lights”).","Dexter Navy","Oliver Millar","Matt Turner","","Altered state | Drug trip | Light Flash | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709545841.webp","Riot & Set it off","Riot & Set it off (2024)","2024 music video directed by Trey Lyons. Features beautiful slow motion sequences and frenetic sequences.","Alex Morrison","Franklin Ricart","Company 3, Joseph Bicknell","INTERIOR | DARK","Light Flash | Medium Close-up"
"https://asset.eyecannndy.com/media/clip/2024/05/20/261716236117.webp","Flume feat. MAY-A - Say Nothing","Flume feat. MAY-A - Say Nothing (2022)","The music video for ""Say Nothing"" by Flume featuring MAY-A, directed by Michael Hili, offers a visually captivating and surreal experience. It includes psychedelic visuals, with Flume donning a bleach-blonde hairstyle and posing on motorcycles, while MAY-A is seen submerged in black sand. The video uses stark contrasts and vibrant colors to complement the song's themes of post-relationship clarity and emotional expression. This trippy and avant-garde style enhances the song's narrative, making it a standout piece in Flume's discography.","Ian Wallace","Dimitri Zaunders, Kieran Fowler","Josh Bohoskey","VOID | MASKS","Light Flash | Void"
"https://asset.eyecannndy.com/media/clip/2024/05/20/261716236020.webp","Flume feat. MAY-A - Say Nothing","Flume feat. MAY-A - Say Nothing (2022)","The music video for ""Say Nothing"" by Flume featuring MAY-A, directed by Michael Hili, offers a visually captivating and surreal experience. It includes psychedelic visuals, with Flume donning a bleach-blonde hairstyle and posing on motorcycles, while MAY-A is seen submerged in black sand. The video uses stark contrasts and vibrant colors to complement the song's themes of post-relationship clarity and emotional expression. This trippy and avant-garde style enhances the song's narrative, making it a standout piece in Flume's discography.","Ian Wallace","Dimitri Zaunders, Kieran Fowler","Josh Bohoskey","BIRD | ROOM | BOARDROOM | MEETING","Light Flash | Quick Cuts | Void"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709546062.webp","Riot & Set it off","Riot & Set it off (2024)","2024 music video directed by Trey Lyons. Features beautiful slow motion sequences and frenetic sequences.","Alex Morrison","Franklin Ricart","Company 3, Joseph Bicknell","BLUE","Light Flash | Silhouette"
"https://asset.eyecannndy.com/media/clip/2024/02/02/261706901571.webp","Burberry x POP","Burberry x POP (2022)","","Colin Read","Eric Schleicher","Joseph Bicknell","MALE | INTERIOR | STUDIO | SKATEBOARD","Light Flash | Shadows"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709545737.webp","Riot & Set it off","Riot & Set it off (2024)","2024 music video directed by Trey Lyons. Features beautiful slow motion sequences and frenetic sequences.","Alex Morrison","Franklin Ricart","Company 3, Joseph Bicknell","MEETING | CONFERENCE TABLE","Light Flash"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703455711.webp","Severance","Severance (2022)","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","Erica Freed Marker, Geoffrey Richman, Gershon Hinkson","Jessica Lee Gagné, Matt Mitchell, Suzie Lavelle","Company 3, Tom Poole","INTERIOR | PURPLE | SATURATED | OFFICE","Light Flash | Two Shot"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709546179.webp","Riot & Set it off","Riot & Set it off (2024)","2024 music video directed by Trey Lyons. Features beautiful slow motion sequences and frenetic sequences.","Alex Morrison","Franklin Ricart","Company 3, Joseph Bicknell","BLUE","Dutch Angle | Light Flash"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707622716.webp","A$AP Rocky - L$D","A$AP Rocky - L$D (2015)","Shot entirely in Tokyo, L$D borrows heavily from Gaspar Noé’s 2009 psychedelic fantasy film Enter the Void (which, if you ask Noé, also inspired Kanye West’s 2010 music video “All of the Lights”).","Dexter Navy","Oliver Millar","Matt Turner","","Altered state | Drug trip | Light Flash | Towards camera | Tracking"
"https://asset.eyecannndy.com/media/clip/2024/03/25/261711344806.webp","Fantastic Mr. Fox","Fantastic Mr. Fox (2009)","An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.","Ralph Foster, Stephen Perkins","Tristan Oliver","Max Horton","SHOCK | SKELETON | ANIMALS | ELECTRICITY","Light Flash | Scribble | Stop Motion"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703044746.webp","Cocaine Bear","Cocaine Bear (2023)","An oddball group of cops, criminals, tourists, and teens converge in a Georgia.","Joel Negron","John Guleserian","Company 3, Natasha Leonnet","RED | DARK | STROBE | COMPANY 3 | JOHN GULESERIAN | ARRI ALEXA LF | ARRI SIGNATURE PRIME LENSES | ELIZABETH BANKS | JOEL NEGRON | NATASHA LEONNET | DIGITAL | EMERGENCY | LIGHT FLASH | COCKPIT | FLASHING LIGHT","Light Flash"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710576844.webp","Ken Carson - Fighting My Demons","Ken Carson - Fighting My Demons (2023)","The music video for ""Fighting My Demons"" by Ken Carson, directed by Cole Bennett, was released in 2023 and features unique, glitchy visuals. The video presents a series of grainy, 3D footage that gives off the impression of being shot with night-vision goggles, offering a surreal viewing experience. It mainly showcases Ken Carson partying and performing his lyrics, creating a montage that aligns with the song's themes. The video's eerie and dark aesthetics were noted for drawing inspiration from the style of 1990s Japanese cinema, culminating in a profound, existential moment where Ken faces a haunting black void, adding depth and narrative to the visual experience.","Cole Bennett","Franklin Ricart","Loren White","MALE | STROBE","Levitation | Light Flash | Light Void | Silhouette"
"https://asset.eyecannndy.com/media/clip/2024/02/27/261709019660.webp","Snipes x Nike - The Cypher","Snipes x Nike - The Cypher (2023)","","Alexis Benot, Eugène Signoret","Cesar Decharme","Arthur Paux","GROUP | BLACK AND WHITE | DANCE | CYPHER","Light Flash | Slow Motion | Speed Ramp"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704916887.webp","João Borsch - Apaz","João Borsch - Apaz (2023)","Directed by – Inês Aires Co-direction – João Morgado Production – Inês Aires, João Borsch, Luís Silva Nunes Production Assistant – João Henrique Câmara Cinematography – Luís Silva Nunes 1st Camera Assistant – Duarte Lino Wardrobe – João Borsch, Inês Aires Makeup and Hair – Marta Saramago, Inês Aires Editing – João Morgado, Inês Aires Visual Effects – Inês Aires Color – Luís Silva Nunes Graphics - Daniel Bertini","Inês Aires, João Morgado","Luís Silva Nunes","","RED | DOUBLE EXPOSURE | SURREAL | PROFILE","Double Exposure | Echo print | Light Flash | Void"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709545877.webp","Riot & Set it off","Riot & Set it off (2024)","2024 music video directed by Trey Lyons. Features beautiful slow motion sequences and frenetic sequences.","Alex Morrison","Franklin Ricart","Company 3, Joseph Bicknell","INTERIOR | DARK","Light Flash"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704342223.webp","Elderbrook - Why Do We Shake In The Cold?","Elderbrook - Why Do We Shake In The Cold? (2020)","","Katarina Gramatová","Filip Marek","","DAY | INTERIOR | LARGE ROOM","Light Flash | Spotlight"
"https://asset.eyecannndy.com/media/clip/2024/03/25/261711344685.webp","Fantastic Mr. Fox","Fantastic Mr. Fox (2009)","An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.","Ralph Foster, Stephen Perkins","Tristan Oliver","Max Horton","FOX | SHOCK","Anthropo | Light Flash | Stop Motion | Surprise"
"https://asset.eyecannndy.com/media/clip/2024/07/05/261720163478.webp","Bree Runway - Just Like That","Bree Runway - Just Like That (2024)","The ""Just Like That"" music video by Bree Runway is a vibrant and high-energy visual feast that showcases her bold fashion choices and dynamic choreography. Set against a variety of colorful backdrops, the video emphasizes Bree's confident persona and eclectic style, further establishing her as a rising star in the music industry.","Pietro Biz Biasia","Chaimuki","Jon Dobson","","Inversion | Light Flash"
"https://asset.eyecannndy.com/media/clip/2024/07/05/261720163511.webp","Bree Runway - Just Like That","Bree Runway - Just Like That (2024)","The ""Just Like That"" music video by Bree Runway is a vibrant and high-energy visual feast that showcases her bold fashion choices and dynamic choreography. Set against a variety of colorful backdrops, the video emphasizes Bree's confident persona and eclectic style, further establishing her as a rising star in the music industry.","Pietro Biz Biasia","Chaimuki","Jon Dobson","","Inversion | Light Flash"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705106190.webp","Get Out","Get Out (2017)","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","Gregory Plotkin","Toby Oliver","Aidan Stanford","NIGHT | EXTERIOR | HORROR | JORDAN PEELE | THRILLER | GET OUT | POLICE LIGHTS | COPY","Light Flash"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708476438.webp",":aexattack - Next Year",":aexattack - Next Year (2021)","","Jetski","","","RED","Hard Light | Light Flash"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704342082.webp","Elderbrook - Why Do We Shake In The Cold?","Elderbrook - Why Do We Shake In The Cold? (2020)","","Katarina Gramatová","Filip Marek","","DAY | INTERIOR | LARGE ROOM","Camera Roll | Light Flash | Overhead"
