video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2025/02/10/261739194009.webp","Severance S2E1 ‘Hello, Ms. Cobel’","Severance S2E1 ‘Hello, Ms. Cobel’ (2025)","In the Severance Season 2 premiere, ""Hello, Ms. Cobel,"" Mark S. awakens on the severed floor and discovers that five months have passed since the innies' revolt, with Mr. Milchick now managing the floor and new employees in the Macrodata Refinement department. As Mark grapples with these changes, he reunites with Helly, Dylan, and Irving, and they confront the implications of their uprising and the evolving dynamics within Lumon Industries.","Geoffrey Richman, Joe Landauer","Jessica Lee Gagné","Company 3, Tom Poole","RUNNING | INTERIOR | ADAM SCOTT | OFFICE | SEVERANCE","Arc | Bolt Cam | X-Axis Arc"
"https://asset.eyecannndy.com/media/clip/2024/01/16/261705433392.webp","Pa Salieu - My Family feat BackRoad Gee","Pa Salieu - My Family feat BackRoad Gee (2020)","","Femi Ladi","Stefan Yap","","BLACK AND WHITE","Bolt Cam"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703409601.webp","Kendrick Lamar - Humble","Kendrick Lamar - Humble (2017)","The visually striking ""Humble"" music video, directed by Dave Meyer and reminiscent of Hype Williams' style, breathes life into Kendrick Lamar's ideas, setting the tone for his upcoming album, which appears to focus on his status as a superstar rather than a complex concept.","Greg Scruton","Scott Cunningham","Jaime O'Bradovich","EXTERIOR | KENDRICK LAMAR | COOL WHITE","Bolt Cam"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711247452.webp","Audrey Nuna - Cellulite","Audrey Nuna - Cellulite (2023)","Audrey Nuna's ""Cellulite"" music video, directed by Zac Dov, is a vivid narrative of self-liberation and defiance, drawing inspiration from icons like the Pharcyde and Missy Elliott. The video visually represents Nuna's personal theme of overcoming constraints, symbolized by motifs of flying and motion, reflecting her introspective yet rebellious spirit. It's a cinematic portrayal of cutting out life's ""toxic fat,"" aiming to resonate with viewers on a journey of spiritual unburdening.","Zac Dov Wiesel","Gabe Knoos-Newton","Brian Niles","WOMAN | MUSIC VIDEO | DUSK | EXTERIOR","Bolt Cam"
"https://asset.eyecannndy.com/media/clip/2024/01/16/261705433284.webp","Pa Salieu - My Family feat BackRoad Gee","Pa Salieu - My Family feat BackRoad Gee (2020)","","Femi Ladi","Stefan Yap","","BLACK AND WHITE","Bolt Cam"
"https://asset.eyecannndy.com/media/clip/2024/01/16/261705433327.webp","Pa Salieu - My Family feat BackRoad Gee","Pa Salieu - My Family feat BackRoad Gee (2020)","","Femi Ladi","Stefan Yap","","BLACK AND WHITE","Bolt Cam"
"https://asset.eyecannndy.com/media/clip/2024/01/16/261705432725.webp","Pa Salieu - My Family feat BackRoad Gee","Pa Salieu - My Family feat BackRoad Gee (2020)","","Femi Ladi","Stefan Yap","","BLACK AND WHITE","Bolt Cam"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703408961.webp","Kendrick Lamar - Humble","Kendrick Lamar - Humble (2017)","The visually striking ""Humble"" music video, directed by Dave Meyer and reminiscent of Hype Williams' style, breathes life into Kendrick Lamar's ideas, setting the tone for his upcoming album, which appears to focus on his status as a superstar rather than a complex concept.","Greg Scruton","Scott Cunningham","Jaime O'Bradovich","EXTERIOR | KENDRICK LAMAR | COOL WHITE","Bolt Cam"
"https://asset.eyecannndy.com/media/clip/2024/01/16/261705432525.webp","Pa Salieu - My Family feat BackRoad Gee","Pa Salieu - My Family feat BackRoad Gee (2020)","","Femi Ladi","Stefan Yap","","BLACK AND WHITE","Bolt Cam | Title Card | Typography"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703409664.webp","Kendrick Lamar - Humble","Kendrick Lamar - Humble (2017)","The visually striking ""Humble"" music video, directed by Dave Meyer and reminiscent of Hype Williams' style, breathes life into Kendrick Lamar's ideas, setting the tone for his upcoming album, which appears to focus on his status as a superstar rather than a complex concept.","Greg Scruton","Scott Cunningham","Jaime O'Bradovich","EXTERIOR | KENDRICK LAMAR | COOL WHITE","Bolt Cam | Cut-ins"
"https://asset.eyecannndy.com/media/clip/2024/07/05/261720165546.webp","Victoria Monet - Alright","Victoria Monet - Alright (2024)","The music video for ""Alright"" by Victoria Monét, directed by Dave Meyers, is a vibrant homage to Janet Jackson, featuring high-energy choreography and striking visuals. In the video, Monét channels Jackson's iconic style, wearing a black-and-white fedora and suit, and performing dynamic dance routines reminiscent of Jackson's 1990s and 2000s era. The video, choreographed by Sean Bankhead, showcases Monét's impressive dance skills and captures the essence of liberation and celebration. Made in collaboration with Jacobi Mehringer, Anna Arnell, and Mia Barnes.","Vinnie Hobbs","Scott Cunningham","Dante Pasquinelli","BLUE | EYE | PUPIL | VICTORIA MONET","Bolt Cam | Choreo | Projections"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703410058.webp","Kyan Khojandi - Haagen-Dazs","Kyan Khojandi - Haagen-Dazs (2021)","Slow bolt arm shot in void environment. The BOLT was popularized in Dave Meyer's 'Humble' where it quickly moved around Kendrick. In this clip, we see it's use at a more normal speed.","Jérémie Levypon, Royal Post","Alex Jamin","","DARK | VOID","Arc | Bolt Cam | Void | X-Axis Arc"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703389247.webp","Halfprice - Fitting room","Halfprice - Fitting room (2022)","","Nikodem Chabior","Mikołaj Syguda","Florian Martiny","BLUE | INTERIOR | COOL | SELFIE | FASHION | CHANGING ROOM","Bolt Cam"
