video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708335688.webp","AJR - Maybe Man","AJR - Maybe Man (2024)","An incredible brush-stroke style animation from Prime Render Studios; inspired by Miyazaki and a staple animation style of artist Bozo Balov. Illustrated in Quill VR. Animated in Blender.","Edoardo Ranaboldo","","","INTERIOR | ARTIST | GUITAR | VENUE","Set Transition | Transitions"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706406344.webp","Johnnie Walker - The Next Step","Johnnie Walker - The Next Step (2014)","","","","","RUNNING","Levitation | Set Transition | Trucking | Void"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711254369.webp","Coach - Life Has Different Paths","Coach - Life Has Different Paths (2024)","","Nik Valentin","Pat Aldinger","Marina Starke","WOMAN | WALKING | PHONE","Set Transition | Towards camera | Tracking"
"https://asset.eyecannndy.com/media/clip/2023/12/30/261703925742.webp","slowthai - Yum","slowthai - Yum (2023)","","John Holloway","Jack Exton","","BLUE | MEDIUM | EXTERIOR | COOL | CENTERED | CYAN","Set Transition"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709538866.webp","Saint Levant - Nails","Saint Levant - Nails (2023)","2024 music video by Saint Levant performing Nails starring Mia Khalifa.","Mattias Russo-Larsson","Melisse Riahi","","RESTAURANT | INTERIOR | BAR","Set Transition"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706405355.webp","The French Dispatch","The French Dispatch (2021)","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"". Shot breakdown. Dolly out to wide.","Andrew Weisblum","Robert Yeoman","Gareth Spensley","INTERIOR | ORANGE | TIMOTHEE CHALAMET","1960s | Set Transition"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706566878.webp","The French Dispatch","The French Dispatch (2021)","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".","Andrew Weisblum","Robert Yeoman","Gareth Spensley","BLACK AND WHITE | PLANE | AIRPLANE","1960s | Diorama | Set Transition | Vintage Graphics"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706405525.webp","KITKAT - Break Épico","KITKAT - Break Épico (2023)","Shot breakdown: Probe lens dolly in + profile two shot in void.","Kill The Buddha","","","INTERIOR","Set Transition | Void"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710332453.webp","Our England","Our England (2022)","","India Harris","","","BLUE | INTERIOR | GIRL | BEDROOM | ATHLETE | KID","Set Transition"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709976600.webp","eLaLiga Santander - What Can't Can Be","eLaLiga Santander - What Can't Can Be (2023)","","Keane Pearce Shaw","","","","Arc | Set Transition | X-Axis Arc"
"https://asset.eyecannndy.com/media/clip/2023/12/19/261702949042.webp","Magnolia","Magnolia (1999)","An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.","Dylan Tichenor","Robert Elswit","","WOMAN | HOUSE | INTERIOR | WHIP | SET TRANSITION","Lazy Susan | Set Transition | Whip Pan"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702866032.webp","A$AP Rocky - Kids Turned Out Fine","A$AP Rocky - Kids Turned Out Fine (2019)","Directed by Dexter Navy, A$AP Rocky's ""Kids Turned Out Fine"" music video explores the transition from childhood to parenthood through surreal and dreamlike scenes, accompanied by a blissed-out vibe. Despite a dark twist related to the album title ""TESTING,"" the video maintains a whimsical feel and highlights Rocky's psychedelic wardrobe.","Will Town","Chris Ripley","","SUNSET | EXTERIOR | STRIP CLUB | ROOF","Conveyor | Infinite Transition | Set Transition | Wipe Transition"
"https://asset.eyecannndy.com/media/clip/2024/05/09/261715296210.webp","Volkswagen - Diamonds","Volkswagen - Diamonds (2022)","The 2022 Volkswagen commercial ""Diamonds"" features a series of touching life moments involving various individuals and families with their Volkswagen cars, metaphorically highlighted by visuals of diamonds to represent the preciousness of these times. The commercial combines a warm, cinematic aesthetic with an emotional soundtrack, emphasizing the car as a key companion in life’s special journeys, celebrating and enhancing these valuable experiences.","Jacob Schulsinger","Eigil Bryld","Mikey Pehanich","SPORTS | BARBERSHOP | ANCHORS | HOSTS","Dreamcore | Set Transition"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702865755.webp","A$AP Rocky - Kids Turned Out Fine","A$AP Rocky - Kids Turned Out Fine (2019)","Directed by Dexter Navy, A$AP Rocky's ""Kids Turned Out Fine"" music video explores the transition from childhood to parenthood through surreal and dreamlike scenes, accompanied by a blissed-out vibe. Despite a dark twist related to the album title ""TESTING,"" the video maintains a whimsical feel and highlights Rocky's psychedelic wardrobe.","Will Town","Chris Ripley","","DAY | EXTERIOR","Conveyor | Infinite Transition | Set Transition | Transitions | Wipe Transition"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706406397.webp","Lazy Susan","Lazy Susan (2019)","You might be one of the millions of people whose life was made a little bit easier by Susan and you don’t even know it. Shot breakdown: Overhead tracking shot.","Terri Timely","Donavan Sell","Clinton Homuth","INTERIOR | DINNER | DINING | TABLE","Set Transition"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703056172.webp","Barbie","Barbie (2023)","Barbie suffers a crisis that leads her to question her world and her existence.","Nick Houy","Rodrigo Prieto","Yvan Lucas","DAY | LIGHT | PINK | RYAN GOSLING | BARBIE | NATURAL LIGHT | EXTERIOR | WIDE | SATURATED | YVAN LUCAS | ARRI ALEXA 65 | GRETA GERWIG | PANAVISION SYSTEM 65 LENSES | RODRIGO PRIETO | NICK HOUY | SET TRANSITION","2020s | Happiness | Match Cut | Set Transition | Trucking | Wide shot"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706405263.webp","Old Spice - Windsurfing","Old Spice - Windsurfing (2015)","","Tom Kuntz","","","","Excitement | Fourth Wall | Set Transition"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706406196.webp","Johnnie Walker - The Next Step","Johnnie Walker - The Next Step (2014)","","","","","WALKING | NEON","Conveyor | Set Transition"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706478162.webp","Lazy Susan","Lazy Susan (2019)","You might be one of the millions of people whose life was made a little bit easier by Susan and you don’t even know it. Shot breakdown: Overhead tracking shot.","Terri Timely","Donavan Sell","Clinton Homuth","INTERIOR | DINNER | LUNCH","Set Transition"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702866390.webp","A$AP Rocky - Kids Turned Out Fine","A$AP Rocky - Kids Turned Out Fine (2019)","Directed by Dexter Navy, A$AP Rocky's ""Kids Turned Out Fine"" music video explores the transition from childhood to parenthood through surreal and dreamlike scenes, accompanied by a blissed-out vibe. Despite a dark twist related to the album title ""TESTING,"" the video maintains a whimsical feel and highlights Rocky's psychedelic wardrobe.","Will Town","Chris Ripley","","DAY | ANIMATION | SCRIBBLE | BLUNT | CAR | EXTERIOR | SMOKING | SCRIBBLE ANIMATION | WEEK | TREE","Conveyor | Infinite Transition | Set Transition | Wipe Transition"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703056041.webp","Barbie","Barbie (2023)","Barbie suffers a crisis that leads her to question her world and her existence.","Nick Houy","Rodrigo Prieto","Yvan Lucas","RYAN GOSLING | BARBIE | YVAN LUCAS | ARRI ALEXA 65 | GRETA GERWIG | PANAVISION SYSTEM 65 LENSES | RODRIGO PRIETO | NICK HOUY","Set Transition | Trucking | Wipe Transition"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708334560.webp","Dua Lipa - Training Season","Dua Lipa - Training Season (2024)","In the ""Training Season"" video, Dua Lipa remains composed at a cafe, surrounded by gawking men taking photos of her. The song's inspiration, as shared by Lipa, stemmed from a series of bad dates, leading her to declare the end of her ""training season"" and shaping the song with songwriters Caroline Ailin and Tobias Jesso Jr.","Julie Levy","Rina Yang","Dante Pasquinelli","RESTAURANT | INTERIOR | GROUP | CROWD | DUA LIPA","Set Transition"
