video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706567126.webp","The Grand Budapest Hotel","The Grand Budapest Hotel (2014)","A visually stunning and comedic masterpiece set in an eccentric Eastern European hotel.","Barney Pilling","Robert Yeoman","Jill Bogdanowicz","EXTERIOR | LOOKING UP","Central Framing | Overhead | Two Shot"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707021536.webp","Do Revenge","Do Revenge (2022)","Drea and Eleanor agree to go after one another's bullies.","David S. Clark, Lori Ball","Brian Burgoyne","Tim Stipan","DAY | CAR | ROAD | DRIVING | EXTERIOR | CITY | HIGHWAY","Central Framing | Single shot"
"https://asset.eyecannndy.com/media/clip/2024/03/26/261711434739.webp","""The Fear Cycle"" Film - Unveiling Sleep Paralysis Through Art","""The Fear Cycle"" Film - Unveiling Sleep Paralysis Through Art (2024)","""The Fear Cycle"" film explores Nicolas Bruno’s experiences with Sleep Paralysis, a sleep disorder that causes vivid nightmares. Bruno transforms his fears into artwork, giving viewers a glimpse into each dream sequence. This film delves into Bruno's creative journey, showcasing his artistic process, dream journal entries, and theatrical renditions of his visions.","Armen Harootun","","Connor Bailey","BEACH | HORSE","Central Framing | Horror | Single shot | Video Portraits"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711250476.webp","KYLE - iSpy feat. Lil Yachty","KYLE - iSpy feat. Lil Yachty (2017)","The ""iSpy"" music video by KYLE featuring Lil Yachty combines playful animation with live-action, creating a whimsical and colorful world that reflects the song's lighthearted vibe. It transports the viewer into a carefree, imaginative space where the artists, portrayed as children, explore vibrant, animated landscapes. This creative blend of elements highlights the song's themes of joy and escapism.","Vinnie Hobbs","Rob Witt","","BEACH | KIDS | PLAY","Big head | Central Framing | Magical realism | Two Shot"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706565747.webp","The French Dispatch","The French Dispatch (2021)","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"". Shot breakdown. Dolly out to wide.","Andrew Weisblum","Robert Yeoman","Gareth Spensley","CAR | DRIVING | TAXI | COUPLE | RAIN | VEHICLE | CAB","1960s | Central Framing | Two Shot"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710311721.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Season 1. Episode 5. Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","Nick Allix","Callan Green","Matthieu Toullet","MALE | RESTAURANT | EATING | LAMP | DINING | TABLE | DESSERT | CAKE | SCENE SYMMETRY | FORK","Central Framing | Dolly | Over the Shoulder | Technocrane"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706563352.webp","Long Live Liborius","Long Live Liborius (2021)","Catholic church turned sanctuary for skaters. Burned down in 2023.","Bruton Stroube","","","INTERIOR | CHURCH | TALKING TO CAMERA","Central Framing | Interview | Single shot"
"https://asset.eyecannndy.com/media/clip/2024/07/05/261720165278.webp","Victoria Monet - Alright","Victoria Monet - Alright (2024)","The music video for ""Alright"" by Victoria Monét, directed by Dave Meyers, is a vibrant homage to Janet Jackson, featuring high-energy choreography and striking visuals. In the video, Monét channels Jackson's iconic style, wearing a black-and-white fedora and suit, and performing dynamic dance routines reminiscent of Jackson's 1990s and 2000s era. The video, choreographed by Sean Bankhead, showcases Monét's impressive dance skills and captures the essence of liberation and celebration. Made in collaboration with Jacobi Mehringer, Anna Arnell, and Mia Barnes.","Vinnie Hobbs","Scott Cunningham","Dante Pasquinelli","BLUE | VICTORIA MONET | GLITTER","Central Framing | Choreo | Cut-ins"
"https://asset.eyecannndy.com/media/clip/2024/06/07/261717742995.webp","ONHA - KODAK","ONHA - KODAK (2024)","The music video for ""Kodak"" by ONHA, directed by Nitram, showcases the artist moving through different lively and surreal environments that correspond to playlists on a girl's phone. In one standout scene, ONHA is turned into a basketball, remaining the focal point during a game. The video is praised for its ambitious concept and impressive visual effects, making it a visually captivating experience.","M. Tikal","Virgil Leclercq","Francois Dubois","ONHA - KODAK (2024)","Central Framing"
"https://asset.eyecannndy.com/media/clip/2023/12/29/261703843504.webp","Death Proof","Death Proof (2007)","Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans.","Sally Menke","","Steve Sheridan","DAY | INTERIOR | BAR | DARK | SYMMETRICAL | CENTERED | 35MM | 2000S | ARRIFLEX 435 | 3 PERF | PANAVISION PANAFLEX | ANAMORPHIC | PANAVISION PRIMO","2000s | Central Framing"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702703087.webp","The Life Aquatic with Steve Zissou","The Life Aquatic with Steve Zissou (2004)","With a plan to exact revenge on a mythical shark that killed his partner, Oceanographer Steve Zissou (Bill Murray) rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.","David Moritz","Robert Yeoman","","WATER | UNDERWATER | WARM | WES ANDERSON | INTERIOR | OCEAN | BEANIE | ORCA | SYMMETRICAL | BILL MURRAY | LIFE AQUATIC | APPLE","1970s | Adventure | Central Framing | Cinemagraph"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707021306.webp","Do Revenge","Do Revenge (2022)","Drea and Eleanor agree to go after one another's bullies.","David S. Clark, Lori Ball","Brian Burgoyne","Tim Stipan","DAY | CAR | DRIVING | EXTERIOR","Awkwardness | Central Framing | Fixed Cam | Intensity | Two Shot"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706564451.webp","American Psycho","American Psycho (2000)","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","Andrew Marcus","Andrzej Sekula","Michael Haeley","DAY | HOUSE | INTERIOR | SWEAT | HOME | CHRISTIAN BALE | WORKING OUT | ACTIVE | JUMP ROPE","2000s | Central Framing"
