video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707022183.webp","Top Gun: Maverick","Top Gun: Maverick (2022)","After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","Chris Lebenzon, Eddie Hamilton","Claudio Miranda","Adam Nazarenko, Stefan Sonnenfeld","","Indifference | Medium Close-up | Shallow Focus | Single shot | Smugness"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710390475.webp","Feid - ALAKRAN","Feid - ALAKRAN (2024)","","Unenano","Marcello Peschiera","Cameron Marygold","DAY | MALE | EXTERIOR | RELAXING | LOS ANGELES | MANSION | LOUNGING","Focal shift | Low Angle | Rack Focus | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709531686.webp","Monster: The Jeffrey Dahmer Story","Monster: The Jeffrey Dahmer Story (2022)","The story of a cannibalistic serial killer named Jeffrey Dahmer, a.k.a. the Milwaukee Monster.","Lyric Ramsey, Nicholas Emme, Peter Grabicki, Robin August","Jason McCormick, John T. Connor","Doug Delaney, Michael Hatzer","CLOSE UP | BEER | BUDWEISER","1980s | Medium Close-up | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/01/24/261706086911.webp","Chungking Express","Chungking Express (1994)","Two melancholic Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents. Shot on Agfa stock and XT320 cameras.","Chi-Leung Kwong, Hai Kit-Wai, William Chang","Andrew Lau, Christopher Doyle","Joe Gawler","NIGHT | BAR | COLORFUL | BEER | SATURATED | SATURATION | SINGLE SHOT","1990s | Sadness | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710314428.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Season 1. Episode 5. Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","Nick Allix","Callan Green","Matthieu Toullet","MALE | RESTAURANT | INTERIOR | DINING | SCENE SYMMETRY | DRUGGED | POISON","Central Framing | Close-Up | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702699861.webp","Atonement","Atonement (2007)","","Paul Tothill","Seamus McGarvey","Adam Inglis, Ray Cacket","WHITE | CLOSE UP | FIRE | EXTREME CLOSE UP | FLAME | FINGERS | FLIP | LIGHTER | HAND | FINGER","Extreme Close-Up | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/01/23/261706040975.webp","Travis Scott - I KNOW ?","Travis Scott - I KNOW ? (2024)","Travis Scott music video, directed by Dave Meyers. Cinematic romance.","","","","SHADOW BOX | SPLIT SCREEN | TRAVIS SCOTT","Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709531717.webp","Monster: The Jeffrey Dahmer Story","Monster: The Jeffrey Dahmer Story (2022)","The story of a cannibalistic serial killer named Jeffrey Dahmer, a.k.a. the Milwaukee Monster.","Lyric Ramsey, Nicholas Emme, Peter Grabicki, Robin August","Jason McCormick, John T. Connor","Doug Delaney, Michael Hatzer","HAND | ABS","1980s | Medium Close-up | Shallow Focus | Suggestive"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711251680.webp","KYLE - iSpy feat. Lil Yachty","KYLE - iSpy feat. Lil Yachty (2017)","The ""iSpy"" music video by KYLE featuring Lil Yachty combines playful animation with live-action, creating a whimsical and colorful world that reflects the song's lighthearted vibe. It transports the viewer into a carefree, imaginative space where the artists, portrayed as children, explore vibrant, animated landscapes. This creative blend of elements highlights the song's themes of joy and escapism.","Vinnie Hobbs","Rob Witt","","DAY | WOMAN | BEACH | RUNNING | EXTERIOR | BIKINI","Shallow Focus | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708340099.webp","Supernatural (TV Series)","Supernatural (TV Series) (2005)","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth. Season 2, Episode 3.","Tom McQuade","Serge Ladouceur","","MALE | GUN | JENSEN ACKLES","Rack Focus | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/03/10/261710030897.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","David Webb","Bjorn Charpentier, Ed Wild","","WEED | INTERIOR | MARIJUANA | WEIGHT | SCALE","Low Angle | Magnification | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/01/16/261705386163.webp","Moonlight","Moonlight (2016)","A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood. Directed by Barry Jenkins and shot on an Arri Alexa XT camera.","Joi McMillon, Nat Sanders","James Laxton","Alex Bickel","RESTAURANT | NIGHT | BACK OF HEAD | INTERIOR | ANGENIEUX | HAWK V-LITE | ARRI ALEXA XT","1980s | Over the Shoulder | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/01/07/261704620481.webp","Face Man GIF By Dyan Jong","Face Man GIF By Dyan Jong (2016)","","Dylan Jong","","","BLUE | DARK","Bokeh | Profile | Rack Focus | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703052526.webp","Taxi Driver","Taxi Driver (1976)","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Melvin Shapiro, Tom Rolf","Michael Chapman","Company 3, Stefan Sonnenfeld","MALE | GREEN | CAR | MIRROR | DARK | 1970S | BOKEH | EXTREME CLOSE UP | EYES | 35MM | ZEISS SUPER SPEED | ARRIFLEX BL | TAXI DRIVER | MICHAEL CHAPMAN | MELVIN SHAPIRO | MARTIN SCORSESE | STEFAN SONNENFELD","Close-Up | Extreme Close-Up | Shallow Focus"
